G28CheckBox[0] | /Y
Part10_Item3_Unit[0] | / APT 
Part10_Item3_Unit[1] | / STE 
Part10_Item3_Unit[2] | / FLR 
Part10_Item7_PreparerStmt[0] | /A
Part10_Item7_PreparerStmt[1] | /B
Part10_Item7b_Extend[0] | /Y
Part10_Item7b_NotExtend[0] | /N
Part1_Item1_ApplicationType[0] | /1a
Part1_Item1_ApplicationType[1] | /1b
Part1_Item2_GrantedTPSI[0] | /I
Part1_Item2_GrantedTPSU[0] | /U
Part1_Item3_EADApp[0] | /A
Part1_Item3_EADApp[1] | /B
Part2_Item12_Sex[0] | /M
Part2_Item12_Sex[1] | /F
Part2_Item17_MaritalStatus[0] | /S
Part2_Item17_MaritalStatus[1] | /M
Part2_Item17_MaritalStatus[2] | /D
Part2_Item17_MaritalStatus[3] | /W
Part2_Item17_MaritalStatus[4] | /E
Part2_Item17_MaritalStatus[5] | /A
Part2_Item17_MaritalStatus[6] | /O
Part2_Item25_ImmigrationProceedings[0] | /Y
Part2_Item25_ImmigrationProceedings[1] | /N
Part2_Item27_ProceedingType[0] | /A
Part2_Item27_ProceedingType[1] | /B
Part2_Item27_ProceedingType[2] | /C
Part2_Item31e_Present[0] | /P
Part2_Item4_Unit[0] | / APT 
Part2_Item4_Unit[1] | / STE 
Part2_Item4_Unit[2] | / FLR 
Part2_Item5_YN[0] | /Y
Part2_Item5_YN[1] | /N
Part2_Item6_Unit[0] | / APT 
Part2_Item6_Unit[1] | / STE 
Part2_Item6_Unit[2] | / FLR 
Part3_Item1_Ethnicity[0] | /H
Part3_Item1_Ethnicity[1] | /N
Part3_Item2_RaceA[0] | /D
Part3_Item2_RaceB[0] | /S
Part3_Item2_RaceH[0] | /D
Part3_Item2_RaceI[0] | /D
Part3_Item2_RaceW[0] | /S
Part3_Item5_Eyecolor[0] | /BL
Part3_Item5_Eyecolor[1] | /BU
Part3_Item5_Eyecolor[2] | /BN
Part3_Item5_Eyecolor[3] | /GR
Part3_Item5_Eyecolor[4] | /GN
Part3_Item5_Eyecolor[5] | /HA
Part3_Item5_Eyecolor[6] | /MA
Part3_Item5_Eyecolor[7] | /PN
Part3_Item5_Eyecolor[8] | /UN
Part3_Item6_Haircolor[0] | /NH
Part3_Item6_Haircolor[1] | /BL
Part3_Item6_Haircolor[2] | /BN
Part3_Item6_Haircolor[3] | /BR
Part3_Item6_Haircolor[4] | /GR
Part3_Item6_Haircolor[5] | /RD
Part3_Item6_Haircolor[6] | /SA
Part3_Item6_Haircolor[7] | /WH
Part3_Item6_Haircolor[8] | /OT
Part4_Item10d_Present[0] | /P
